Borough,Block,Lot,FromMonth,ToMonth,FromDay,ToDay,FromYear,ToYear,DocType
1,35,0000,1,12,1,31,2011,2012,
1,36,0000,1,12,1,31,2009,2010,
1,36,0000,1,12,1,31,2010,2011,
1,36,0000,1,12,1,31,2011,2012,
1,37,0000,1,12,1,31,2009,2010,
1,37,0000,1,12,1,31,2010,2011,
1,37,0000,1,12,1,31,2011,2012,
1,38,0000,1,12,1,31,2009,2010,
1,38,0000,1,12,1,31,2010,2011,
1,38,0000,1,12,1,31,2011,2012,
1,39,0000,1,12,1,31,2009,2010,
1,39,0000,1,12,1,31,2010,2011,
1,39,0000,1,12,1,31,2011,2012,
1,40,0000,1,12,1,31,2009,2010,
1,40,0000,1,12,1,31,2010,2011,
1,40,0000,1,12,1,31,2011,2012,
1,41,0000,1,12,1,31,2009,2010,
1,41,0000,1,12,1,31,2010,2011,
1,41,0000,1,12,1,31,2011,2012,
1,42,0000,1,12,1,31,2009,2010,
1,42,0000,1,12,1,31,2010,2011,
1,42,0000,1,12,1,31,2011,2012,
1,43,0000,1,12,1,31,2009,2010,
1,43,0000,1,12,1,31,2010,2011,
1,43,0000,1,12,1,31,2011,2012,
1,44,0000,1,12,1,31,2009,2010,
1,44,0000,1,12,1,31,2010,2011,
1,44,0000,1,12,1,31,2011,2012,
1,45,0000,1,12,1,31,2009,2010,
1,45,0000,1,12,1,31,2010,2011,
1,45,0000,1,12,1,31,2011,2012,
1,46,0000,1,12,1,31,2009,2010,
1,46,0000,1,12,1,31,2010,2011,
1,46,0000,1,12,1,31,2011,2012,
1,47,0000,1,12,1,31,2009,2010,
1,47,0000,1,12,1,31,2010,2011,
1,47,0000,1,12,1,31,2011,2012,
1,48,0000,1,12,1,31,2009,2010,
1,48,0000,1,12,1,31,2010,2011,
1,48,0000,1,12,1,31,2011,2012,
1,49,0000,1,12,1,31,2009,2010,
1,49,0000,1,12,1,31,2010,2011,
1,49,0000,1,12,1,31,2011,2012,
1,50,0000,1,12,1,31,2009,2010,
1,50,0000,1,12,1,31,2010,2011,
1,50,0000,1,12,1,31,2011,2012,
1,51,0000,1,12,1,31,2009,2010,
1,51,0000,1,12,1,31,2010,2011,
1,51,0000,1,12,1,31,2011,2012,
1,52,0000,1,12,1,31,2009,2010,
1,52,0000,1,12,1,31,2010,2011,
1,52,0000,1,12,1,31,2011,2012,
1,53,0000,1,12,1,31,2009,2010,
1,53,0000,1,12,1,31,2010,2011,
1,53,0000,1,12,1,31,2011,2012,
1,54,0000,1,12,1,31,2009,2010,
1,54,0000,1,12,1,31,2010,2011,
1,54,0000,1,12,1,31,2011,2012,
1,55,0000,1,12,1,31,2009,2010,
1,55,0000,1,12,1,31,2010,2011,
1,55,0000,1,12,1,31,2011,2012,
1,56,0000,1,12,1,31,2009,2010,
1,56,0000,1,12,1,31,2010,2011,
1,56,0000,1,12,1,31,2011,2012,
1,57,0000,1,12,1,31,2009,2010,
1,57,0000,1,12,1,31,2010,2011,
1,57,0000,1,12,1,31,2011,2012,
1,58,0000,1,12,1,31,2009,2010,
1,58,0000,1,12,1,31,2010,2011,
1,58,0000,1,12,1,31,2011,2012,
1,59,0000,1,12,1,31,2009,2010,
1,59,0000,1,12,1,31,2010,2011,
1,59,0000,1,12,1,31,2011,2012,
1,60,0000,1,12,1,31,2009,2010,
1,60,0000,1,12,1,31,2010,2011,
1,60,0000,1,12,1,31,2011,2012,
1,61,0000,1,12,1,31,2009,2010,
1,61,0000,1,12,1,31,2010,2011,
1,61,0000,1,12,1,31,2011,2012,
1,62,0000,1,12,1,31,2009,2010,
1,62,0000,1,12,1,31,2010,2011,
1,62,0000,1,12,1,31,2011,2012,
1,63,0000,1,12,1,31,2009,2010,
1,63,0000,1,12,1,31,2010,2011,
1,63,0000,1,12,1,31,2011,2012,
1,64,0000,1,12,1,31,2009,2010,
1,64,0000,1,12,1,31,2010,2011,
1,64,0000,1,12,1,31,2011,2012,
1,65,0000,1,12,1,31,2009,2010,
1,65,0000,1,12,1,31,2010,2011,
1,65,0000,1,12,1,31,2011,2012,
1,66,0000,1,12,1,31,2009,2010,
1,66,0000,1,12,1,31,2010,2011,
1,66,0000,1,12,1,31,2011,2012,
1,67,0000,1,12,1,31,2009,2010,
1,67,0000,1,12,1,31,2010,2011,
1,67,0000,1,12,1,31,2011,2012,
1,68,0000,1,12,1,31,2009,2010,
1,68,0000,1,12,1,31,2010,2011,
1,68,0000,1,12,1,31,2011,2012,
1,69,0000,1,12,1,31,2009,2010,
1,69,0000,1,12,1,31,2010,2011,
1,69,0000,1,12,1,31,2011,2012,
1,70,0000,1,12,1,31,2009,2010,
1,70,0000,1,12,1,31,2010,2011,
1,70,0000,1,12,1,31,2011,2012,
1,71,0000,1,12,1,31,2009,2010,
1,71,0000,1,12,1,31,2010,2011,
1,71,0000,1,12,1,31,2011,2012,
1,72,0000,1,12,1,31,2009,2010,
1,72,0000,1,12,1,31,2010,2011,
1,72,0000,1,12,1,31,2011,2012,
1,73,0000,1,12,1,31,2009,2010,
1,73,0000,1,12,1,31,2010,2011,
1,73,0000,1,12,1,31,2011,2012,
1,74,0000,1,12,1,31,2009,2010,
1,74,0000,1,12,1,31,2010,2011,
1,74,0000,1,12,1,31,2011,2012,
1,75,0000,1,12,1,31,2009,2010,
1,75,0000,1,12,1,31,2010,2011,
1,75,0000,1,12,1,31,2011,2012,
1,76,0000,1,12,1,31,2009,2010,
1,76,0000,1,12,1,31,2010,2011,
1,76,0000,1,12,1,31,2011,2012,
1,77,0000,1,12,1,31,2009,2010,
1,77,0000,1,12,1,31,2010,2011,
1,77,0000,1,12,1,31,2011,2012,
1,78,0000,1,12,1,31,2009,2010,
1,78,0000,1,12,1,31,2010,2011,
1,78,0000,1,12,1,31,2011,2012,
1,79,0000,1,12,1,31,2009,2010,
1,79,0000,1,12,1,31,2010,2011,
1,79,0000,1,12,1,31,2011,2012,
1,80,0000,1,12,1,31,2009,2010,
1,80,0000,1,12,1,31,2010,2011,
1,80,0000,1,12,1,31,2011,2012,
1,81,0000,1,12,1,31,2009,2010,
1,81,0000,1,12,1,31,2010,2011,
1,81,0000,1,12,1,31,2011,2012,
1,82,0000,1,12,1,31,2009,2010,
1,82,0000,1,12,1,31,2010,2011,
1,82,0000,1,12,1,31,2011,2012,
1,83,0000,1,12,1,31,2009,2010,
1,83,0000,1,12,1,31,2010,2011,
1,83,0000,1,12,1,31,2011,2012,
1,84,0000,1,12,1,31,2009,2010,
1,84,0000,1,12,1,31,2010,2011,
1,84,0000,1,12,1,31,2011,2012,
1,85,0000,1,12,1,31,2009,2010,
1,85,0000,1,12,1,31,2010,2011,
1,85,0000,1,12,1,31,2011,2012,
1,86,0000,1,12,1,31,2009,2010,
1,86,0000,1,12,1,31,2010,2011,
1,86,0000,1,12,1,31,2011,2012,
1,87,0000,1,12,1,31,2009,2010,
1,87,0000,1,12,1,31,2010,2011,
1,87,0000,1,12,1,31,2011,2012,
1,88,0000,1,12,1,31,2009,2010,
1,88,0000,1,12,1,31,2010,2011,
1,88,0000,1,12,1,31,2011,2012,
1,89,0000,1,12,1,31,2009,2010,
1,89,0000,1,12,1,31,2010,2011,
1,89,0000,1,12,1,31,2011,2012,
1,90,0000,1,12,1,31,2009,2010,
1,90,0000,1,12,1,31,2010,2011,
1,90,0000,1,12,1,31,2011,2012,
1,91,0000,1,12,1,31,2009,2010,
1,91,0000,1,12,1,31,2010,2011,
1,91,0000,1,12,1,31,2011,2012,
1,92,0000,1,12,1,31,2009,2010,
1,92,0000,1,12,1,31,2010,2011,
1,92,0000,1,12,1,31,2011,2012,
1,93,0000,1,12,1,31,2009,2010,
1,93,0000,1,12,1,31,2010,2011,
1,93,0000,1,12,1,31,2011,2012,
1,94,0000,1,12,1,31,2009,2010,
1,94,0000,1,12,1,31,2010,2011,
1,94,0000,1,12,1,31,2011,2012,
1,95,0000,1,12,1,31,2009,2010,
1,95,0000,1,12,1,31,2010,2011,
1,95,0000,1,12,1,31,2011,2012,
1,96,0000,1,12,1,31,2009,2010,
1,96,0000,1,12,1,31,2010,2011,
1,96,0000,1,12,1,31,2011,2012,
1,97,0000,1,12,1,31,2009,2010,
1,97,0000,1,12,1,31,2010,2011,
1,97,0000,1,12,1,31,2011,2012,
1,98,0000,1,12,1,31,2009,2010,
1,98,0000,1,12,1,31,2010,2011,
1,98,0000,1,12,1,31,2011,2012,
1,99,0000,1,12,1,31,2009,2010,
1,99,0000,1,12,1,31,2010,2011,
1,99,0000,1,12,1,31,2011,2012,
1,100,0000,1,12,1,31,2009,2010,
1,100,0000,1,12,1,31,2010,2011,
1,100,0000,1,12,1,31,2011,2012,
1,101,0000,1,12,1,31,2009,2010,
1,101,0000,1,12,1,31,2010,2011,
1,101,0000,1,12,1,31,2011,2012,
1,102,0000,1,12,1,31,2009,2010,
1,102,0000,1,12,1,31,2010,2011,
1,102,0000,1,12,1,31,2011,2012,
1,103,0000,1,12,1,31,2009,2010,
1,103,0000,1,12,1,31,2010,2011,
1,103,0000,1,12,1,31,2011,2012,
1,104,0000,1,12,1,31,2009,2010,
1,104,0000,1,12,1,31,2010,2011,
1,104,0000,1,12,1,31,2011,2012,
1,105,0000,1,12,1,31,2009,2010,
1,105,0000,1,12,1,31,2010,2011,
1,105,0000,1,12,1,31,2011,2012,
1,106,0000,1,12,1,31,2009,2010,
1,106,0000,1,12,1,31,2010,2011,
1,106,0000,1,12,1,31,2011,2012,
1,107,0000,1,12,1,31,2009,2010,
1,107,0000,1,12,1,31,2010,2011,
1,107,0000,1,12,1,31,2011,2012,
1,108,0000,1,12,1,31,2009,2010,
1,108,0000,1,12,1,31,2010,2011,
1,108,0000,1,12,1,31,2011,2012,
1,109,0000,1,12,1,31,2009,2010,
1,109,0000,1,12,1,31,2010,2011,
1,109,0000,1,12,1,31,2011,2012,
1,110,0000,1,12,1,31,2009,2010,
1,110,0000,1,12,1,31,2010,2011,
1,110,0000,1,12,1,31,2011,2012,
1,111,0000,1,12,1,31,2009,2010,
1,111,0000,1,12,1,31,2010,2011,
1,111,0000,1,12,1,31,2011,2012,
1,112,0000,1,12,1,31,2009,2010,
1,112,0000,1,12,1,31,2010,2011,
1,112,0000,1,12,1,31,2011,2012,
1,113,0000,1,12,1,31,2009,2010,
1,113,0000,1,12,1,31,2010,2011,
1,113,0000,1,12,1,31,2011,2012,
1,114,0000,1,12,1,31,2009,2010,
1,114,0000,1,12,1,31,2010,2011,
1,114,0000,1,12,1,31,2011,2012,
1,115,0000,1,12,1,31,2009,2010,
1,115,0000,1,12,1,31,2010,2011,
1,115,0000,1,12,1,31,2011,2012,
1,116,0000,1,12,1,31,2009,2010,
1,116,0000,1,12,1,31,2010,2011,
1,116,0000,1,12,1,31,2011,2012,
1,117,0000,1,12,1,31,2009,2010,
1,117,0000,1,12,1,31,2010,2011,
1,117,0000,1,12,1,31,2011,2012,
1,118,0000,1,12,1,31,2009,2010,
1,118,0000,1,12,1,31,2010,2011,
1,118,0000,1,12,1,31,2011,2012,
1,119,0000,1,12,1,31,2009,2010,
1,119,0000,1,12,1,31,2010,2011,
1,119,0000,1,12,1,31,2011,2012,
1,120,0000,1,12,1,31,2009,2010,
1,120,0000,1,12,1,31,2010,2011,
1,120,0000,1,12,1,31,2011,2012,
1,121,0000,1,12,1,31,2009,2010,
1,121,0000,1,12,1,31,2010,2011,
1,121,0000,1,12,1,31,2011,2012,
1,122,0000,1,12,1,31,2009,2010,
1,122,0000,1,12,1,31,2010,2011,
1,122,0000,1,12,1,31,2011,2012,
1,123,0000,1,12,1,31,2009,2010,
1,123,0000,1,12,1,31,2010,2011,
1,123,0000,1,12,1,31,2011,2012,
1,124,0000,1,12,1,31,2009,2010,
1,124,0000,1,12,1,31,2010,2011,
1,124,0000,1,12,1,31,2011,2012,
1,125,0000,1,12,1,31,2009,2010,
1,125,0000,1,12,1,31,2010,2011,
1,125,0000,1,12,1,31,2011,2012,
1,126,0000,1,12,1,31,2009,2010,
1,126,0000,1,12,1,31,2010,2011,
1,126,0000,1,12,1,31,2011,2012,
1,127,0000,1,12,1,31,2009,2010,
1,127,0000,1,12,1,31,2010,2011,
1,127,0000,1,12,1,31,2011,2012,
1,128,0000,1,12,1,31,2009,2010,
1,128,0000,1,12,1,31,2010,2011,
1,128,0000,1,12,1,31,2011,2012,
1,129,0000,1,12,1,31,2009,2010,
1,129,0000,1,12,1,31,2010,2011,
1,129,0000,1,12,1,31,2011,2012,
1,130,0000,1,12,1,31,2009,2010,
1,130,0000,1,12,1,31,2010,2011,
1,130,0000,1,12,1,31,2011,2012,
1,131,0000,1,12,1,31,2009,2010,
1,131,0000,1,12,1,31,2010,2011,
1,131,0000,1,12,1,31,2011,2012,
1,132,0000,1,12,1,31,2009,2010,
1,132,0000,1,12,1,31,2010,2011,
1,132,0000,1,12,1,31,2011,2012,
1,133,0000,1,12,1,31,2009,2010,
1,133,0000,1,12,1,31,2010,2011,
1,133,0000,1,12,1,31,2011,2012,
1,134,0000,1,12,1,31,2009,2010,
1,134,0000,1,12,1,31,2010,2011,
1,134,0000,1,12,1,31,2011,2012,
1,135,0000,1,12,1,31,2009,2010,
1,135,0000,1,12,1,31,2010,2011,
1,135,0000,1,12,1,31,2011,2012,
1,136,0000,1,12,1,31,2009,2010,
1,136,0000,1,12,1,31,2010,2011,
1,136,0000,1,12,1,31,2011,2012,
1,137,0000,1,12,1,31,2009,2010,
1,137,0000,1,12,1,31,2010,2011,
1,137,0000,1,12,1,31,2011,2012,
1,138,0000,1,12,1,31,2009,2010,
1,138,0000,1,12,1,31,2010,2011,
1,138,0000,1,12,1,31,2011,2012,
1,139,0000,1,12,1,31,2009,2010,
1,139,0000,1,12,1,31,2010,2011,
1,139,0000,1,12,1,31,2011,2012,
1,140,0000,1,12,1,31,2009,2010,
1,140,0000,1,12,1,31,2010,2011,
1,140,0000,1,12,1,31,2011,2012,
1,141,0000,1,12,1,31,2009,2010,
1,141,0000,1,12,1,31,2010,2011,
1,141,0000,1,12,1,31,2011,2012,
1,142,0000,1,12,1,31,2009,2010,
1,142,0000,1,12,1,31,2010,2011,
1,142,0000,1,12,1,31,2011,2012,
1,143,0000,1,12,1,31,2009,2010,
1,143,0000,1,12,1,31,2010,2011,
1,143,0000,1,12,1,31,2011,2012,
1,144,0000,1,12,1,31,2009,2010,
1,144,0000,1,12,1,31,2010,2011,
1,144,0000,1,12,1,31,2011,2012,
1,145,0000,1,12,1,31,2009,2010,
1,145,0000,1,12,1,31,2010,2011,
1,145,0000,1,12,1,31,2011,2012,
1,146,0000,1,12,1,31,2009,2010,
1,146,0000,1,12,1,31,2010,2011,
1,146,0000,1,12,1,31,2011,2012,
1,147,0000,1,12,1,31,2009,2010,
1,147,0000,1,12,1,31,2010,2011,
1,147,0000,1,12,1,31,2011,2012,
1,148,0000,1,12,1,31,2009,2010,
1,148,0000,1,12,1,31,2010,2011,
1,148,0000,1,12,1,31,2011,2012,
1,149,0000,1,12,1,31,2009,2010,
1,149,0000,1,12,1,31,2010,2011,
1,149,0000,1,12,1,31,2011,2012,
1,150,0000,1,12,1,31,2009,2010,
1,150,0000,1,12,1,31,2010,2011,
1,150,0000,1,12,1,31,2011,2012,
1,151,0000,1,12,1,31,2009,2010,
1,151,0000,1,12,1,31,2010,2011,
1,151,0000,1,12,1,31,2011,2012,
1,152,0000,1,12,1,31,2009,2010,
1,152,0000,1,12,1,31,2010,2011,
1,152,0000,1,12,1,31,2011,2012,
1,153,0000,1,12,1,31,2009,2010,
1,153,0000,1,12,1,31,2010,2011,
1,153,0000,1,12,1,31,2011,2012,
1,154,0000,1,12,1,31,2009,2010,
1,154,0000,1,12,1,31,2010,2011,
1,154,0000,1,12,1,31,2011,2012,
1,155,0000,1,12,1,31,2009,2010,
1,155,0000,1,12,1,31,2010,2011,
1,155,0000,1,12,1,31,2011,2012,
1,156,0000,1,12,1,31,2009,2010,
1,156,0000,1,12,1,31,2010,2011,
1,156,0000,1,12,1,31,2011,2012,
1,157,0000,1,12,1,31,2009,2010,
1,157,0000,1,12,1,31,2010,2011,
1,157,0000,1,12,1,31,2011,2012,
1,158,0000,1,12,1,31,2009,2010,
1,158,0000,1,12,1,31,2010,2011,
1,158,0000,1,12,1,31,2011,2012,
1,159,0000,1,12,1,31,2009,2010,
1,159,0000,1,12,1,31,2010,2011,
1,159,0000,1,12,1,31,2011,2012,
1,160,0000,1,12,1,31,2009,2010,
1,160,0000,1,12,1,31,2010,2011,
1,160,0000,1,12,1,31,2011,2012,
1,161,0000,1,12,1,31,2009,2010,
1,161,0000,1,12,1,31,2010,2011,
1,161,0000,1,12,1,31,2011,2012,
1,162,0000,1,12,1,31,2009,2010,
1,162,0000,1,12,1,31,2010,2011,
1,162,0000,1,12,1,31,2011,2012,
1,163,0000,1,12,1,31,2009,2010,
1,163,0000,1,12,1,31,2010,2011,
1,163,0000,1,12,1,31,2011,2012,
1,164,0000,1,12,1,31,2009,2010,
1,164,0000,1,12,1,31,2010,2011,
1,164,0000,1,12,1,31,2011,2012,
1,165,0000,1,12,1,31,2009,2010,
1,165,0000,1,12,1,31,2010,2011,
1,165,0000,1,12,1,31,2011,2012,
1,166,0000,1,12,1,31,2009,2010,
1,166,0000,1,12,1,31,2010,2011,
1,166,0000,1,12,1,31,2011,2012,
1,167,0000,1,12,1,31,2009,2010,
1,167,0000,1,12,1,31,2010,2011,
1,167,0000,1,12,1,31,2011,2012,
1,168,0000,1,12,1,31,2009,2010,
1,168,0000,1,12,1,31,2010,2011,
1,168,0000,1,12,1,31,2011,2012,
1,169,0000,1,12,1,31,2009,2010,
1,169,0000,1,12,1,31,2010,2011,
1,169,0000,1,12,1,31,2011,2012,
1,170,0000,1,12,1,31,2009,2010,
1,170,0000,1,12,1,31,2010,2011,
1,170,0000,1,12,1,31,2011,2012,
1,171,0000,1,12,1,31,2009,2010,
1,171,0000,1,12,1,31,2010,2011,
1,171,0000,1,12,1,31,2011,2012,
1,172,0000,1,12,1,31,2009,2010,
1,172,0000,1,12,1,31,2010,2011,
1,172,0000,1,12,1,31,2011,2012,
1,173,0000,1,12,1,31,2009,2010,
1,173,0000,1,12,1,31,2010,2011,
1,173,0000,1,12,1,31,2011,2012,
1,174,0000,1,12,1,31,2009,2010,
1,174,0000,1,12,1,31,2010,2011,
1,174,0000,1,12,1,31,2011,2012,
1,175,0000,1,12,1,31,2009,2010,
1,175,0000,1,12,1,31,2010,2011,
1,175,0000,1,12,1,31,2011,2012,
1,176,0000,1,12,1,31,2009,2010,
1,176,0000,1,12,1,31,2010,2011,
1,176,0000,1,12,1,31,2011,2012,
1,177,0000,1,12,1,31,2009,2010,
1,177,0000,1,12,1,31,2010,2011,
1,177,0000,1,12,1,31,2011,2012,
1,178,0000,1,12,1,31,2009,2010,
1,178,0000,1,12,1,31,2010,2011,
1,178,0000,1,12,1,31,2011,2012,
1,179,0000,1,12,1,31,2009,2010,
1,179,0000,1,12,1,31,2010,2011,
1,179,0000,1,12,1,31,2011,2012,
1,180,0000,1,12,1,31,2009,2010,
1,180,0000,1,12,1,31,2010,2011,
1,180,0000,1,12,1,31,2011,2012,
1,181,0000,1,12,1,31,2009,2010,
1,181,0000,1,12,1,31,2010,2011,
1,181,0000,1,12,1,31,2011,2012,
1,182,0000,1,12,1,31,2009,2010,
1,182,0000,1,12,1,31,2010,2011,
1,182,0000,1,12,1,31,2011,2012,
1,183,0000,1,12,1,31,2009,2010,
1,183,0000,1,12,1,31,2010,2011,
1,183,0000,1,12,1,31,2011,2012,
1,184,0000,1,12,1,31,2009,2010,
1,184,0000,1,12,1,31,2010,2011,
1,184,0000,1,12,1,31,2011,2012,
1,185,0000,1,12,1,31,2009,2010,
1,185,0000,1,12,1,31,2010,2011,
1,185,0000,1,12,1,31,2011,2012,
1,186,0000,1,12,1,31,2009,2010,
1,186,0000,1,12,1,31,2010,2011,
1,186,0000,1,12,1,31,2011,2012,
1,187,0000,1,12,1,31,2009,2010,
1,187,0000,1,12,1,31,2010,2011,
1,187,0000,1,12,1,31,2011,2012,
1,188,0000,1,12,1,31,2009,2010,
1,188,0000,1,12,1,31,2010,2011,
1,188,0000,1,12,1,31,2011,2012,
1,189,0000,1,12,1,31,2009,2010,
1,189,0000,1,12,1,31,2010,2011,
1,189,0000,1,12,1,31,2011,2012,
1,190,0000,1,12,1,31,2009,2010,
1,190,0000,1,12,1,31,2010,2011,
1,190,0000,1,12,1,31,2011,2012,
1,191,0000,1,12,1,31,2009,2010,
1,191,0000,1,12,1,31,2010,2011,
1,191,0000,1,12,1,31,2011,2012,
1,192,0000,1,12,1,31,2009,2010,
1,192,0000,1,12,1,31,2010,2011,
1,192,0000,1,12,1,31,2011,2012,
1,193,0000,1,12,1,31,2009,2010,
1,193,0000,1,12,1,31,2010,2011,
1,193,0000,1,12,1,31,2011,2012,
1,194,0000,1,12,1,31,2009,2010,
1,194,0000,1,12,1,31,2010,2011,
1,194,0000,1,12,1,31,2011,2012,
1,195,0000,1,12,1,31,2009,2010,
1,195,0000,1,12,1,31,2010,2011,
1,195,0000,1,12,1,31,2011,2012,
1,196,0000,1,12,1,31,2009,2010,
1,196,0000,1,12,1,31,2010,2011,
1,196,0000,1,12,1,31,2011,2012,
1,197,0000,1,12,1,31,2009,2010,
1,197,0000,1,12,1,31,2010,2011,
1,197,0000,1,12,1,31,2011,2012,
1,198,0000,1,12,1,31,2009,2010,
1,198,0000,1,12,1,31,2010,2011,
1,198,0000,1,12,1,31,2011,2012,
1,199,0000,1,12,1,31,2009,2010,
1,199,0000,1,12,1,31,2010,2011,
1,199,0000,1,12,1,31,2011,2012,
1,200,0000,1,12,1,31,2009,2010,
1,200,0000,1,12,1,31,2010,2011,
1,200,0000,1,12,1,31,2011,2012,
1,201,0000,1,12,1,31,2009,2010,
1,201,0000,1,12,1,31,2010,2011,
1,201,0000,1,12,1,31,2011,2012,
1,202,0000,1,12,1,31,2009,2010,
1,202,0000,1,12,1,31,2010,2011,
1,202,0000,1,12,1,31,2011,2012,
1,203,0000,1,12,1,31,2009,2010,
1,203,0000,1,12,1,31,2010,2011,
1,203,0000,1,12,1,31,2011,2012,
1,204,0000,1,12,1,31,2009,2010,
1,204,0000,1,12,1,31,2010,2011,
1,204,0000,1,12,1,31,2011,2012,
1,205,0000,1,12,1,31,2009,2010,
1,205,0000,1,12,1,31,2010,2011,
1,205,0000,1,12,1,31,2011,2012,
1,206,0000,1,12,1,31,2009,2010,
1,206,0000,1,12,1,31,2010,2011,
1,206,0000,1,12,1,31,2011,2012,
1,207,0000,1,12,1,31,2009,2010,
1,207,0000,1,12,1,31,2010,2011,
1,207,0000,1,12,1,31,2011,2012,
1,208,0000,1,12,1,31,2009,2010,
1,208,0000,1,12,1,31,2010,2011,
1,208,0000,1,12,1,31,2011,2012,
1,209,0000,1,12,1,31,2009,2010,
1,209,0000,1,12,1,31,2010,2011,
1,209,0000,1,12,1,31,2011,2012,
1,210,0000,1,12,1,31,2009,2010,
1,210,0000,1,12,1,31,2010,2011,
